Model,AIC[mock],VolCorr[mock],OOS_RMSE[mock],OOS_QLIKE[mock],AIC[qwen2.5:3b],VolCorr[qwen2.5:3b],OOS_RMSE[qwen2.5:3b],OOS_QLIKE[qwen2.5:3b]
GARCH,896.65,0.8704,4.1774,2.0894,896.65,0.8704,4.1774,2.0894
GARCH-X,896.54,0.8618,4.1959,2.0973,898.65,0.8703,4.1791,2.0896
EGARCH,889.32,0.5379,4.1566,2.0723,889.32,0.5379,4.1566,2.0723
EGARCH-X,888.55,0.5559,4.1634,2.0743,891.12,0.5545,4.1591,2.0725
TARCH,889.15,0.5992,4.1819,2.0923,889.15,0.5992,4.1819,2.0923
TARCH-X,887.91,0.5988,4.2072,2.1002,890.93,0.598,4.1978,2.0968
